group,variable,value
a,1,93
a,2,72
a,3,5
a,4,5
a,5,53
a,6,6
a,7,79
a,8,93
a,9,50
a,10,61
a,11,54
a,12,20
a,13,87
a,14,78
a,15,25
a,16,93
a,17,99
a,18,14
a,19,68
a,20,66
a,21,32
b,1,45
b,2,26
b,3,55
b,4,79
b,5,1
b,6,31
b,7,57
b,8,8
b,9,17
b,10,62
b,11,39
b,12,77
b,13,61
b,14,41
b,15,22
b,16,62
b,17,69
b,18,92
b,19,2
b,20,10
b,21,64
c,1,66
c,2,61
c,3,44
c,4,83
c,5,77
c,6,39
c,7,56
c,8,41
c,9,47
c,10,23
c,11,89
c,12,51
c,13,33
c,14,33
c,15,61
c,16,31
c,17,59
c,18,72
c,19,74
c,20,1
c,21,97
d,1,2
d,2,6
d,3,23
d,4,97
d,5,30
d,6,51
d,7,90
d,8,99
d,9,96
d,10,20
d,11,7
d,12,59
d,13,23
d,14,32
d,15,32
d,16,68
d,17,26
d,18,98
d,19,27
d,20,70
d,21,74
e,1,74
e,2,20
e,3,38
e,4,47
e,5,66
e,6,96
e,7,5
e,8,87
e,9,77
e,10,27
e,11,25
e,12,50
e,13,97
e,14,89
e,15,64
e,16,67
e,17,58
e,18,43
e,19,13
e,20,82
e,21,10
f,1,87
f,2,75
f,3,55
f,4,68
f,5,53
f,6,80
f,7,34
f,8,82
f,9,42
f,10,98
f,11,3
f,12,1
f,13,82
f,14,70
f,15,37
f,16,83
f,17,24
f,18,92
f,19,32
f,20,22
f,21,16
g,1,71
g,2,45
g,3,19
g,4,39
g,5,71
g,6,64
g,7,58
g,8,3
g,9,28
g,10,86
g,11,6
g,12,67
g,13,4
g,14,71
g,15,29
g,16,90
g,17,70
g,18,58
g,19,70
g,20,91
g,21,28
h,1,59
h,2,52
h,3,92
h,4,49
h,5,40
h,6,15
h,7,53
h,8,67
h,9,83
h,10,19
h,11,39
h,12,10
h,13,45
h,14,21
h,15,17
h,16,36
h,17,6
h,18,79
h,19,12
h,20,16
h,21,73
i,1,26
i,2,60
i,3,20
i,4,62
i,5,4
i,6,54
i,7,29
i,8,79
i,9,93
i,10,5
i,11,94
i,12,20
i,13,1
i,14,7
i,15,38
i,16,13
i,17,98
i,18,55
i,19,52
i,20,43
i,21,68
j,1,14
j,2,3
j,3,73
j,4,80
j,5,65
j,6,51
j,7,80
j,8,94
j,9,71
j,10,47
j,11,28
j,12,60
j,13,10
j,14,32
j,15,95
j,16,72
j,17,99
j,18,82
j,19,90
j,20,59
j,21,31
k,1,33
k,2,74
k,3,9
k,4,67
k,5,95
k,6,13
k,7,8
k,8,83
k,9,73
k,10,85
k,11,8
k,12,31
k,13,18
k,14,18
k,15,70
k,16,10
k,17,80
k,18,22
k,19,25
k,20,95
k,21,78
l,1,21
l,2,66
l,3,15
l,4,6
l,5,27
l,6,52
l,7,52
l,8,64
l,9,19
l,10,85
l,11,39
l,12,57
l,13,56
l,14,31
l,15,21
l,16,11
l,17,77
l,18,20
l,19,39
l,20,6
l,21,69
m,1,69
m,2,72
m,3,13
m,4,72
m,5,24
m,6,93
m,7,83
m,8,48
m,9,22
m,10,56
m,11,59
m,12,16
m,13,43
m,14,30
m,15,39
m,16,80
m,17,94
m,18,42
m,19,23
m,20,18
m,21,27
n,1,4
n,2,44
n,3,23
n,4,92
n,5,64
n,6,17
n,7,43
n,8,27
n,9,52
n,10,22
n,11,94
n,12,93
n,13,8
n,14,13
n,15,4
n,16,86
n,17,57
n,18,86
n,19,59
n,20,42
n,21,36
o,1,92
o,2,52
o,3,20
o,4,34
o,5,67
o,6,42
o,7,21
o,8,10
o,9,69
o,10,71
o,11,33
o,12,44
o,13,20
o,14,39
o,15,43
o,16,66
o,17,37
o,18,27
o,19,27
o,20,6
o,21,41
p,1,87
p,2,37
p,3,49
p,4,27
p,5,19
p,6,77
p,7,45
p,8,1
p,9,42
p,10,77
p,11,46
p,12,35
p,13,34
p,14,61
p,15,14
p,16,87
p,17,13
p,18,30
p,19,60
p,20,24
p,21,37
q,1,43
q,2,92
q,3,46
q,4,20
q,5,91
q,6,51
q,7,21
q,8,21
q,9,70
q,10,92
q,11,17
q,12,45
q,13,3
q,14,30
q,15,4
q,16,96
q,17,88
q,18,47
q,19,58
q,20,5
q,21,95
r,1,15
r,2,48
r,3,37
r,4,68
r,5,25
r,6,63
r,7,43
r,8,3
r,9,6
r,10,96
r,11,21
r,12,68
r,13,64
r,14,99
r,15,41
r,16,19
r,17,51
r,18,91
r,19,89
r,20,15
r,21,3
s,1,89
s,2,59
s,3,23
s,4,87
s,5,70
s,6,49
s,7,79
s,8,85
s,9,54
s,10,54
s,11,8
s,12,50
s,13,65
s,14,49
s,15,76
s,16,19
s,17,72
s,18,19
s,19,65
s,20,49
s,21,40
t,1,58
t,2,7
t,3,39
t,4,66
t,5,80
t,6,7
t,7,1
t,8,37
t,9,13
t,10,9
t,11,7
t,12,70
t,13,36
t,14,60
t,15,91
t,16,80
t,17,28
t,18,79
t,19,63
t,20,52
t,21,90
u,1,74
u,2,17
u,3,5
u,4,12
u,5,88
u,6,65
u,7,60
u,8,83
u,9,37
u,10,90
u,11,87
u,12,34
u,13,4
u,14,77
u,15,50
u,16,23
u,17,54
u,18,92
u,19,89
u,20,34
u,21,61
