x,y,value
x1,y1,54
x1,y2,96
x1,y3,1
x1,y4,22
x1,y5,34
x1,y6,66
x1,y7,12
x1,y8,96
x1,y9,44
x1,y10,28
x1,y11,27
x1,y12,82
x1,y13,47
x1,y14,67
x1,y15,61
x1,y16,13
x1,y17,99
x1,y18,63
x1,y19,26
x1,y20,67
x1,y21,71
x2,y1,76
x2,y2,7
x2,y3,96
x2,y4,40
x2,y5,29
x2,y6,41
x2,y7,90
x2,y8,44
x2,y9,25
x2,y10,91
x2,y11,17
x2,y12,20
x2,y13,64
x2,y14,59
x2,y15,22
x2,y16,3
x2,y17,31
x2,y18,7
x2,y19,54
x2,y20,77
x2,y21,27
x3,y1,70
x3,y2,2
x3,y3,13
x3,y4,69
x3,y5,70
x3,y6,66
x3,y7,81
x3,y8,25
x3,y9,95
x3,y10,17
x3,y11,38
x3,y12,55
x3,y13,72
x3,y14,55
x3,y15,60
x3,y16,6
x3,y17,44
x3,y18,38
x3,y19,99
x3,y20,10
x3,y21,91
x4,y1,96
x4,y2,57
x4,y3,95
x4,y4,30
x4,y5,26
x4,y6,77
x4,y7,66
x4,y8,44
x4,y9,57
x4,y10,18
x4,y11,2
x4,y12,16
x4,y13,42
x4,y14,95
x4,y15,78
x4,y16,20
x4,y17,63
x4,y18,70
x4,y19,98
x4,y20,58
x4,y21,65
x5,y1,45
x5,y2,13
x5,y3,20
x5,y4,30
x5,y5,45
x5,y6,97
x5,y7,83
x5,y8,21
x5,y9,54
x5,y10,64
x5,y11,59
x5,y12,13
x5,y13,4
x5,y14,61
x5,y15,48
x5,y16,39
x5,y17,24
x5,y18,59
x5,y19,22
x5,y20,88
x5,y21,71
x6,y1,89
x6,y2,62
x6,y3,52
x6,y4,54
x6,y5,86
x6,y6,41
x6,y7,84
x6,y8,66
x6,y9,75
x6,y10,21
x6,y11,60
x6,y12,34
x6,y13,71
x6,y14,11
x6,y15,45
x6,y16,77
x6,y17,45
x6,y18,27
x6,y19,57
x6,y20,84
x6,y21,25
x7,y1,4
x7,y2,54
x7,y3,4
x7,y4,18
x7,y5,32
x7,y6,92
x7,y7,64
x7,y8,62
x7,y9,58
x7,y10,16
x7,y11,14
x7,y12,77
x7,y13,88
x7,y14,56
x7,y15,5
x7,y16,69
x7,y17,3
x7,y18,56
x7,y19,62
x7,y20,82
x7,y21,68
x8,y1,54
x8,y2,81
x8,y3,70
x8,y4,18
x8,y5,12
x8,y6,28
x8,y7,67
x8,y8,94
x8,y9,15
