group,variable,value,text
x1,y1,28,28
x1,y2,91,91
x1,y3,67,67
x1,y4,4,4
x1,y5,30,30
x1,y6,27,27
x1,y7,19,19
x1,y8,70,70
x1,y9,40,40
x1,y10,84,84
x1,y11,14,14
x1,y12,34,34
x1,y13,48,48
x1,y14,17,17
x1,y15,37,37
x1,y16,14,14
x1,y17,78,78
x1,y18,91,91
x1,y19,17,17
x1,y20,21,21
x1,y21,27,27
x2,y1,55,55
x2,y2,42,42
x2,y3,62,62
x2,y4,99,99
x2,y5,21,21
x2,y6,62,62
x2,y7,32,32
x2,y8,57,57
x2,y9,5,5
x2,y10,70,70
x2,y11,25,25
x2,y12,6,6
x2,y13,32,32
x2,y14,81,81
x2,y15,16,16
x2,y16,15,15
x2,y17,27,27
x2,y18,76,76
x2,y19,46,46
x2,y20,45,45
x2,y21,89,89
x3,y1,64,64
x3,y2,90,90
x3,y3,54,54
x3,y4,20,20
x3,y5,30,30
x3,y6,38,38
x3,y7,98,98
x3,y8,37,37
x3,y9,45,45
x3,y10,7,7
x3,y11,78,78
x3,y12,2,2
x3,y13,3,3
x3,y14,92,92
x3,y15,96,96
x3,y16,66,66
x3,y17,74,74
x3,y18,27,27
x3,y19,67,67
x3,y20,60,60
x3,y21,48,48
x4,y1,9,9
x4,y2,20,20
x4,y3,24,24
x4,y4,62,62
x4,y5,96,96
x4,y6,90,90
x4,y7,58,58
x4,y8,10,10
x4,y9,55,55
x4,y10,40,40
x4,y11,39,39
x4,y12,30,30
x4,y13,96,96
x4,y14,94,94
x4,y15,94,94
x4,y16,53,53
x4,y17,37,37
x4,y18,44,44
x4,y19,71,71
x4,y20,46,46
x4,y21,47,47
x5,y1,65,65
x5,y2,75,75
x5,y3,27,27
x5,y4,25,25
x5,y5,42,42
x5,y6,87,87
x5,y7,64,64
x5,y8,16,16
x5,y9,72,72
x5,y10,32,32
x5,y11,45,45
x5,y12,63,63
x5,y13,7,7
x5,y14,19,19
x5,y15,23,23
x5,y16,39,39
x5,y17,50,50
x5,y18,19,19
x5,y19,18,18
x5,y20,90,90
x5,y21,77,77
x6,y1,51,51
x6,y2,53,53
x6,y3,59,59
x6,y4,64,64
x6,y5,74,74
x6,y6,82,82
x6,y7,39,39
x6,y8,47,47
x6,y9,47,47
x6,y10,90,90
x6,y11,7,7
x6,y12,55,55
x6,y13,56,56
x6,y14,91,91
x6,y15,45,45
x6,y16,6,6
x6,y17,13,13
x6,y18,33,33
x6,y19,28,28
x6,y20,50,50
x6,y21,23,23
x7,y1,52,52
x7,y2,34,34
x7,y3,17,17
x7,y4,65,65
x7,y5,87,87
x7,y6,75,75
x7,y7,82,82
x7,y8,76,76
x7,y9,51,51
x7,y10,37,37
x7,y11,80,80
x7,y12,2,2
x7,y13,29,29
x7,y14,87,87
x7,y15,49,49
x7,y16,84,84
x7,y17,66,66
x7,y18,84,84
x7,y19,16,16
x7,y20,45,45
x7,y21,25,25
x8,y1,84,84
x8,y2,49,49
x8,y3,54,54
x8,y4,43,43
x8,y5,71,71
x8,y6,17,17
x8,y7,25,25
x8,y8,31,31
x8,y9,89,89
x8,y10,41,41
x8,y11,6,6
x8,y12,90,90
x8,y13,61,61
x8,y14,52,52
x8,y15,11,11
x8,y16,21,21
x8,y17,74,74
x8,y18,42,42
x8,y19,72,72
x8,y20,45,45
x8,y21,30,30
x9,y1,41,41
x9,y2,36,36
x9,y3,41,41
x9,y4,95,95
x9,y5,21,21
x9,y6,48,48
x9,y7,22,22
x9,y8,99,99
x9,y9,46,46
x9,y10,44,44
x9,y11,63,63
x9,y12,72,72
x9,y13,69,69
x9,y14,14,14
x9,y15,85,85
x9,y16,23,23
x9,y17,26,26
x9,y18,61,61
x9,y19,74,74
x9,y20,60,60
x9,y21,78,78
x10,y1,56,56
x10,y2,21,21
x10,y3,81,81
x10,y4,98,98
x10,y5,73,73
x10,y6,83,83
x10,y7,46,46
x10,y8,83,83
x10,y9,56,56
x10,y10,42,42
x10,y11,25,25
x10,y12,19,19
x10,y13,82,82
x10,y14,60,60
x10,y15,80,80
x10,y16,90,90
x10,y17,56,56
x10,y18,99,99
x10,y19,25,25
x10,y20,68,68
x10,y21,51,51
x11,y1,62,62
x11,y2,26,26
x11,y3,10,10
x11,y4,64,64
x11,y5,9,9
x11,y6,57,57
x11,y7,25,25
x11,y8,91,91
x11,y9,45,45
x11,y10,77,77
x11,y11,92,92
x11,y12,42,42
x11,y13,71,71
x11,y14,47,47
x11,y15,67,67
x11,y16,56,56
x11,y17,46,46
x11,y18,12,12
x11,y19,45,45
x11,y20,62,62
x11,y21,89,89
x12,y1,40,40
x12,y2,43,43
x12,y3,58,58
x12,y4,83,83
x12,y5,12,12
x12,y6,53,53
x12,y7,5,5
x12,y8,3,3
x12,y9,75,75
x12,y10,79,79
x12,y11,76,76
x12,y12,35,35
x12,y13,79,79
x12,y14,75,75
x12,y15,86,86
x12,y16,29,29
x12,y17,20,20
x12,y18,15,15
x12,y19,7,7
x12,y20,29,29
x12,y21,40,40
x13,y1,13,13
x13,y2,17,17
x13,y3,84,84
x13,y4,43,43
x13,y5,74,74
x13,y6,55,55
x13,y7,12,12
x13,y8,96,96
x13,y9,85,85
x13,y10,44,44
x13,y11,5,5
x13,y12,89,89
x13,y13,16,16
x13,y14,32,32
x13,y15,72,72
x13,y16,53,53
x13,y17,94,94
x13,y18,18,18
x13,y19,20,20
x13,y20,8,8
x13,y21,92,92
x14,y1,56,56
x14,y2,79,79
x14,y3,89,89
x14,y4,67,67
x14,y5,8,8
x14,y6,51,51
x14,y7,97,97
x14,y8,63,63
x14,y9,94,94
x14,y10,56,56
x14,y11,58,58
x14,y12,87,87
x14,y13,95,95
x14,y14,7,7
x14,y15,88,88
x14,y16,22,22
x14,y17,55,55
x14,y18,36,36
x14,y19,24,24
x14,y20,32,32
x14,y21,17,17
x15,y1,68,68
x15,y2,64,64
x15,y3,91,91
x15,y4,97,97
x15,y5,3,3
x15,y6,53,53
x15,y7,94,94
x15,y8,33,33
x15,y9,99,99
x15,y10,50,50
x15,y11,41,41
x15,y12,9,9
x15,y13,97,97
x15,y14,64,64
x15,y15,31,31
x15,y16,58,58
x15,y17,66,66
x15,y18,72,72
x15,y19,36,36
x15,y20,2,2
x15,y21,55,55
x16,y1,54,54
x16,y2,62,62
x16,y3,27,27
x16,y4,85,85
x16,y5,59,59
x16,y6,16,16
x16,y7,64,64
x16,y8,9,9
x16,y9,88,88
x16,y10,80,80
x16,y11,55,55
x16,y12,73,73
x16,y13,17,17
x16,y14,35,35
x16,y15,6,6
x16,y16,17,17
x16,y17,45,45
x16,y18,6,6
x16,y19,75,75
x16,y20,32,32
x16,y21,1,1
x17,y1,46,46
x17,y2,9,9
x17,y3,48,48
x17,y4,54,54
x17,y5,24,24
x17,y6,58,58
x17,y7,76,76
x17,y8,78,78
x17,y9,4,4
x17,y10,35,35
x17,y11,7,7
x17,y12,85,85
x17,y13,25,25
x17,y14,3,3
x17,y15,22,22
x17,y16,5,5
x17,y17,62,62
x17,y18,34,34
x17,y19,94,94
x17,y20,16,16
x17,y21,70,70
x18,y1,32,32
x18,y2,25,25
x18,y3,82,82
x18,y4,69,69
x18,y5,37,37
x18,y6,11,11
x18,y7,1,1
x18,y8,1,1
x18,y9,50,50
x18,y10,84,84
x18,y11,92,92
x18,y12,46,46
x18,y13,91,91
x18,y14,52,52
x18,y15,34,34
x18,y16,37,37
x18,y17,75,75
x18,y18,59,59
x18,y19,6,6
x18,y20,40,40
x18,y21,28,28
x19,y1,62,62
x19,y2,76,76
x19,y3,40,40
x19,y4,49,49
x19,y5,96,96
x19,y6,49,49
x19,y7,88,88
x19,y8,61,61
x19,y9,55,55
x19,y10,74,74
x19,y11,6,6
x19,y12,61,61
x19,y13,93,93
x19,y14,67,67
x19,y15,84,84
x19,y16,93,93
x19,y17,72,72
x19,y18,50,50
x19,y19,3,3
x19,y20,58,58
x19,y21,70,70
x20,y1,9,9
x20,y2,2,2
x20,y3,34,34
x20,y4,80,80
x20,y5,32,32
x20,y6,5,5
x20,y7,60,60
x20,y8,30,30
x20,y9,76,76
x20,y10,48,48
x20,y11,31,31
x20,y12,18,18
x20,y13,53,53
x20,y14,98,98
x20,y15,19,19
x20,y16,51,51
x20,y17,40,40
x20,y18,71,71
x20,y19,30,30
x20,y20,51,51
x20,y21,43,43
x21,y1,6,6
x21,y2,16,16
x21,y3,80,80
x21,y4,59,59
x21,y5,32,32
x21,y6,60,60
x21,y7,41,41
x21,y8,17,17
x21,y9,63,63
x21,y10,22,22
x21,y11,81,81
x21,y12,84,84
x21,y13,98,98
x21,y14,89,89
x21,y15,79,79
x21,y16,63,63
x21,y17,79,79
x21,y18,22,22
x21,y19,97,97
x21,y20,27,27
x21,y21,22,22
